reaction_type_index,reaction_type,reaction_indices
36,C=O.O[#1]>>OCO[#1],"[215, 396, 622, 1437, 1671, 1935, 1965, 2244, 2354, 2720, 3029, 3201, 3884, 4092, 4245, 4255, 4260, 4862, 4966, 5363, 6477, 6619, 7096, 7155, 7211, 7288, 7510, 7830, 8368, 8535, 8724, 9478, 9687, 9718, 9721, 9764, 9986, 10213, 10426, 11454, 11957]"
37,CCO[#1]>>C[#1].C=O,"[1778, 2185, 2612, 2959, 2976, 3014, 3018, 3362, 3565, 3573, 3671, 3711, 4424, 4428, 4726, 4911, 7052, 7411, 7578, 7683, 7732, 7738, 8620, 8676, 8735, 8740, 9603, 9734, 10196, 10322, 10324, 10476, 10671, 10976, 10977, 11001, 11193, 11232, 11439, 11870, 11871]"
38,CCCO>>CO.C=C,"[389, 1278, 1854, 1866, 1871, 1875, 2770, 3484, 3560, 3585, 3974, 4429, 4730, 4845, 4864, 5091, 5371, 5465, 5906, 6010, 6193, 6526, 6972, 7404, 7897, 8072, 8502, 8945, 9320, 9931, 10056, 10063, 10187, 10321, 10798, 10913, 11036, 11060, 11425, 11636]"
39,C(C)O>>C.CO,"[288, 492, 774, 1528, 1901, 1926, 3224, 4081, 4322, 4538, 4681, 4846, 4897, 5024, 5166, 5167, 5340, 5792, 6036, 6295, 6304, 6644, 6887, 7027, 7033, 7587, 8067, 9035, 9654, 9665, 10391, 10450, 10555, 10921, 11428, 11435, 11858, 11906]"
40,C(C#C)[#1]>>C=C(C)[#1],"[199, 350, 550, 1961, 2107, 2383, 2814, 3379, 3394, 3510, 3619, 3786, 3830, 3946, 4265, 4274, 4347, 4403, 4415, 4437, 4620, 4700, 4757, 5710, 5722, 5945, 6049, 6527, 7563, 8022, 8182, 9192, 9529, 9885, 10808, 11303, 11818]"
41,C(OC[#1])[#1]>>[C&-][O&+]=C.[#1][#1],"[333, 570, 987, 1102, 1726, 1736, 2051, 2227, 2371, 2408, 3241, 3329, 4107, 4125, 4170, 4368, 5055, 5116, 5655, 6131, 6178, 6205, 6292, 6660, 6737, 7101, 7108, 7535, 8402, 8648, 8659, 9101, 9235, 9272, 9550, 10656, 11646]"
42,C[#1].C#N>>CC=N[#1],"[246, 251, 1591, 1978, 2303, 2692, 2724, 3549, 3738, 3824, 4456, 4503, 4774, 5070, 5503, 6023, 6060, 6564, 6809, 6811, 6816, 6954, 6975, 7169, 7172, 7531, 8553, 8847, 9894, 10219, 10224, 10694, 10830, 11127, 11244, 11286, 11288]"
43,C[#1].N>>C.N[#1],"[126, 415, 841, 897, 1109, 1562, 1660, 2340, 2436, 2524, 2914, 3066, 3518, 3638, 3660, 3665, 3709, 3710, 4377, 6302, 6827, 6831, 7135, 7662, 7713, 7755, 7759, 7889, 8088, 8340, 8636, 9542, 10520, 10670, 10673, 11226, 11593]"
44,C#CC>>C(=C)C,"[234, 548, 583, 1208, 1316, 1421, 1479, 1597, 1648, 1695, 1710, 2009, 2215, 2548, 2600, 2729, 3310, 3621, 3727, 3953, 4619, 4697, 4937, 5130, 5216, 5376, 5606, 5646, 6177, 7923, 7991, 9201, 9218, 9961, 11023, 11328, 11615]"
45,C1C([#1])O1>>C([O&+]=[C&-])[#1],"[293, 902, 1127, 1628, 1643, 2377, 2564, 2608, 2751, 2800, 3563, 3625, 4052, 4325, 4901, 4939, 5090, 5325, 5701, 5747, 5799, 5899, 6094, 6196, 7600, 8950, 9210, 9318, 9642, 9871, 10163, 10453, 10565, 11152, 11491, 11661]"
46,OCCC>>C=C.OC,"[38, 659, 731, 1104, 3059, 3237, 3357, 3359, 3493, 4254, 4977, 5354, 5776, 6421, 6658, 7151, 7216, 7219, 7536, 7844, 8185, 8373, 8396, 8414, 8556, 9304, 9553, 9592, 9692, 9985, 10422, 11138, 11542, 11556, 11817]"
47,CCN>>C[N&+][C&-],"[106, 448, 450, 789, 1302, 2255, 2266, 2641, 3105, 3643, 3657, 3769, 3964, 4161, 4185, 4581, 4592, 4880, 5816, 6404, 7162, 7621, 7962, 8105, 8841, 8862, 9137, 9267, 9648, 9759, 9892, 11090, 11472, 11588]"
48,O(C[#1])[#1]>>[#1][#1].O=C,"[471, 653, 934, 1144, 1670, 1686, 1816, 2132, 2252, 2957, 3123, 3498, 3530, 4088, 4177, 4242, 4884, 5014, 5364, 5768, 5980, 6143, 6560, 7275, 7511, 7550, 8375, 8422, 9395, 9461, 9610, 9693, 10143, 11907]"
49,CC.C>>CC.C,"[226, 281, 823, 950, 1496, 2738, 3160, 3875, 4165, 4635, 5133, 5144, 5312, 5684, 5981, 6037, 6113, 6226, 6668, 7377, 7378, 7415, 7822, 8387, 8424, 9031, 9090, 9413, 9668, 9818, 11210, 11915, 11927]"
50,C(=O)C>>[C&-]=[O&+]C,"[296, 677, 1172, 1174, 1297, 1435, 1621, 1631, 2190, 2245, 2542, 2691, 2875, 3074, 3442, 4464, 4474, 4640, 4712, 4755, 4851, 4909, 5435, 7297, 8234, 9121, 9278, 9973, 10437, 10502, 10725, 11481, 11785]"
51,C(C[#1])O>>C=C.O[#1],"[494, 1535, 1553, 1697, 1904, 1920, 1929, 2290, 2791, 2995, 3221, 3491, 4361, 4559, 4976, 5114, 5164, 5857, 6024, 6280, 7029, 7031, 7105, 8126, 8329, 9037, 10866, 10910, 11262, 11863, 11894]"
52,C(=C)[#1]>>CC[#1],"[228, 279, 819, 895, 2269, 2739, 3150, 3874, 4394, 5316, 5780, 5989, 6032, 6667, 7823, 8214, 8383, 8411, 8638, 8795, 9042, 9089, 9623, 9667, 9815, 10744, 11211, 11297, 11404, 11924]"
53,C[#1].C#N>>CN(C)[#1],"[69, 244, 1595, 2453, 2850, 2860, 2963, 3125, 3546, 4820, 5069, 5229, 5501, 5504, 6017, 6552, 6565, 6806, 6814, 6979, 7174, 7529, 7880, 8037, 8833, 9441, 9922, 10837, 11123, 11236]"
54,CC(O)[#1]>>C[#1].[O&+]=[C&-],"[263, 336, 417, 519, 540, 541, 564, 577, 1723, 2127, 2295, 2406, 2420, 3240, 3747, 3801, 3803, 4511, 4523, 4885, 5303, 5637, 6385, 6736, 9699, 9833, 11387, 11639, 11739]"
55,C(C)[#1].O>>[C&+].C[#1].[O&-],"[149, 679, 1211, 1322, 1831, 2041, 2205, 2359, 2463, 3156, 3304, 3443, 3654, 3857, 4560, 4673, 4919, 5485, 5725, 5932, 7222, 7501, 7884, 8113, 8799, 8936, 10632, 10724]"
56,C#CC[#1]>>C(=C=C)[#1],"[554, 1206, 1429, 1598, 1645, 1693, 2217, 2597, 2671, 2835, 3312, 3330, 4554, 5219, 5378, 5605, 5649, 5922, 6052, 7299, 8006, 9198, 9524, 9768, 9962, 10273, 10807, 10839]"
57,OC([#1])[#1]>>[#1][#1].[O&+]=[C&-],"[183, 266, 546, 995, 1308, 2047, 2162, 2294, 3254, 3257, 3576, 3588, 3746, 4233, 4887, 5410, 5609, 5912, 6126, 6137, 6894, 7963, 8462, 8496, 8652, 9111, 9543, 11642]"
58,C(O)C[#1]>>C=C.O[#1],"[615, 750, 1184, 1864, 2502, 2584, 2615, 2719, 3027, 3594, 3667, 3928, 4737, 5191, 6355, 6684, 7060, 7094, 7569, 8076, 8505, 9120, 9594, 9604, 9728, 10989, 11248]"
59,C1COC1>>C=C.C=O,"[264, 1323, 1586, 1683, 2166, 2353, 2412, 3327, 3461, 3490, 3731, 3794, 4277, 4510, 5290, 5568, 5582, 5658, 5935, 6512, 6661, 7540, 7852, 9929, 10712, 11611, 11735]"
60,C[#1].OC>>CC.O[#1],"[27, 876, 1004, 1326, 1722, 2225, 3127, 3238, 4089, 4158, 4311, 4518, 5017, 5327, 5508, 5571, 5961, 6428, 6573, 6664, 7255, 7548, 9171, 9428, 9695, 11645]"
61,CO.O[#1]>>OC.O[#1],"[1282, 1347, 1730, 2020, 2618, 2852, 2956, 4263, 4320, 4678, 4886, 4948, 4981, 5332, 5466, 7048, 7543, 7590, 8083, 8202, 8925, 9415, 10455, 10468, 10917, 10926]"
62,C(CCO[#1])[#1]>>C=C.C=O.[#1][#1],"[1286, 1859, 1877, 2865, 3013, 3351, 3483, 3564, 3712, 4425, 4586, 4723, 4842, 5170, 6976, 7403, 7834, 8071, 8288, 10317, 10731, 10800, 10859, 11201, 11543]"
63,C(N)[#1]>>C.N[#1],"[94, 98, 1189, 2432, 2467, 2643, 3106, 4192, 4574, 5597, 6557, 7615, 8596, 8863, 10014, 10140, 10146, 10151, 10152, 10380, 10983, 11115, 11528, 11533, 11703]"
64,c(n)[#1]>>[c&-]n[#1],"[806, 1239, 1792, 1947, 2064, 3080, 3120, 3181, 3204, 4064, 4146, 4206, 4627, 5274, 5276, 5393, 5477, 5720, 5762, 6689, 7489, 8696, 9179, 9323, 11882]"
65,C1CO1>>C=[O&+][C&-],"[292, 1134, 1641, 2559, 2607, 2749, 3559, 4058, 4898, 4943, 5093, 5214, 5328, 5803, 5904, 6095, 7599, 8956, 9217, 9519, 9639, 10158, 11151, 11498]"
66,N1CC1>>[N&+]([C&-])=C,"[154, 255, 330, 429, 606, 878, 1199, 1341, 1424, 2781, 2928, 3335, 3457, 3779, 3990, 4340, 4546, 5015, 6745, 8962, 9729, 9804, 9958, 10442]"
67,C(OCC)[#1]>>[C&-][O&+]=C.C[#1],"[702, 1160, 1166, 2106, 3188, 3914, 4018, 4116, 4119, 4818, 5053, 5650, 6207, 6211, 6394, 6654, 7107, 7664, 8018, 8208, 8397, 9236, 9837, 10707]"
68,C=C[#1]>>C(C)[#1],"[185, 217, 278, 827, 891, 949, 1495, 2271, 4634, 5412, 5680, 5784, 6027, 7421, 7742, 8206, 8380, 9032, 9813, 10302, 10962, 11252, 11401, 11911]"
69,C1CC1>>C=C.C,"[102, 1521, 2129, 3189, 3336, 3349, 3401, 3527, 4247, 6220, 6886, 7361, 7642, 9569, 9577, 9598, 10789, 10855, 11162, 11198, 11423, 11437, 11548, 11866]"
70,C1C([#1])C1>>C(C=C)[#1],"[1514, 1907, 2418, 2892, 3052, 3354, 3543, 3759, 3791, 3969, 4072, 4677, 5299, 5644, 6183, 6720, 7446, 8613, 9556, 10577, 10871, 11038, 11196, 11549]"
71,C1C([#1])C1>>C=CC[#1],"[270, 664, 1515, 1534, 2495, 3053, 3758, 4426, 5298, 5850, 6217, 6508, 7144, 7637, 8163, 8612, 8770, 9599, 10862, 11065, 11190, 11601, 11806, 11931]"
72,C[#1].C[#1]>>CC.[#1][#1],"[2299, 3586, 4276, 4866, 4973, 5510, 6031, 6141, 6158, 6481, 6735, 7056, 7427, 7549, 8499, 8929, 9735, 9870, 9932, 10364, 11427, 11641, 11768]"
73,C(C[#1])C>>C=C.C[#1],"[133, 670, 1566, 1889, 3864, 4244, 4501, 4968, 5401, 5681, 5726, 6514, 6546, 6683, 7695, 8297, 8537, 8661, 8668, 9133, 9777, 10669, 11021]"
74,CC[#1].O>>[C&+].C[#1].[O&-],"[390, 501, 1434, 1896, 1999, 2906, 3497, 3652, 3856, 4810, 4883, 4952, 5734, 5889, 6087, 6679, 7229, 7805, 8247, 9060, 9694, 10648, 11632]"
75,C[#1].CC>>CC.C[#1],"[30, 844, 4379, 4836, 5585, 5858, 6898, 6899, 7134, 7425, 7426, 7876, 8606, 9664, 10052, 10327, 10643, 10912, 10932, 11012, 11046, 11114, 11862]"
76,C(C1CC1)[#1]>>C=C[#1].C=C,"[658, 729, 1100, 2886, 2894, 3600, 3796, 6172, 6267, 6371, 6908, 6910, 7133, 7430, 7579, 8142, 9578, 10186, 10628, 11137, 11551, 11702, 11744]"
77,C(CC)[#1]>>C(C[#1])C,"[218, 669, 944, 1383, 1418, 2199, 2687, 2802, 3321, 3987, 4140, 4642, 4855, 5195, 5866, 7306, 9287, 9938, 10503, 11357, 11485, 11846]"
78,C(CCC#C)[#1]>>C=C.C=C=C[#1],"[352, 724, 1818, 3381, 3511, 3908, 3948, 4272, 4461, 5415, 6529, 6587, 7307, 7556, 9290, 9967, 10179, 10461, 10584, 10810, 11146, 11670]"
79,C[#1].C[#1]>>C.C.[#1][#1],"[225, 477, 485, 820, 951, 1500, 2442, 2917, 3514, 4636, 5313, 5413, 5682, 5984, 7719, 7737, 7744, 8419, 9622, 9812, 11208, 11293]"
80,O=CC>>[O&+](=[C&-])C,"[207, 580, 741, 1130, 1254, 2329, 2680, 3034, 3303, 4360, 4769, 4965, 5480, 5540, 5844, 6805, 7500, 8889, 9378, 10761, 10788, 10987]"
81,N#CC>>[N&+](#[C&-])C,"[590, 872, 1016, 1490, 1745, 2459, 2492, 2779, 3612, 3849, 4442, 5083, 5207, 6132, 8053, 8226, 8864, 9442, 9911, 10366, 11214, 11804]"
82,C[#1].O=C>>O(CC)[#1],"[2030, 2113, 2277, 2293, 2327, 3031, 4363, 4551, 4961, 5450, 5454, 6044, 6242, 6623, 8763, 8801, 8894, 10138, 10631, 10763, 10779]"
83,nn[#1]>>n(n)[#1],"[360, 404, 758, 915, 922, 1791, 2389, 3206, 4009, 4112, 4617, 5103, 5182, 5399, 5544, 7319, 9488, 9998, 11450, 11619, 11747]"
84,C(NC)[#1]>>C=N.C[#1],"[323, 1354, 2538, 2907, 3882, 3967, 4783, 4793, 5034, 5122, 5619, 5817, 6784, 6800, 8111, 8272, 8991, 10011, 10045, 11049, 11695]"
85,C(OC)[#1]>>C=O.C[#1],"[165, 814, 1175, 1940, 2337, 4540, 4992, 6350, 6427, 7257, 7386, 7867, 8279, 8489, 9406, 9463, 9536, 9884, 10067, 11133, 11958]"
86,C(O)C>>C.OC,"[1287, 1867, 3038, 3669, 4682, 5192, 5696, 6582, 6673, 6969, 7398, 7829, 8619, 8678, 9025, 9315, 9609, 10563, 10661, 11224, 11441]"
87,C1COC1>>C=C.O=C,"[334, 614, 1327, 1684, 1990, 2298, 2419, 3466, 3792, 4280, 4514, 5930, 6127, 6391, 6506, 6653, 8539, 9700, 10717, 11607]"
88,C1CNC1>>C=C.C=N,"[96, 522, 962, 1022, 1448, 1829, 2710, 3337, 5001, 5004, 7350, 8031, 8363, 8938, 9232, 9725, 10015, 10141, 10155, 11770]"
89,C1CN1[#1]>>C=NC[#1],"[791, 1145, 1738, 2580, 3276, 3389, 3768, 3844, 4197, 5542, 5991, 7560, 7964, 7996, 8843, 9195, 9860, 9988, 10336, 11518]"
90,CCC#N>>CN=C=C,"[51, 248, 1469, 2601, 2622, 2685, 3051, 3073, 3320, 3765, 3814, 4328, 4775, 5350, 5694, 6168, 6961, 7534, 10587, 10596]"
91,C1([#1])OC1>>[C&-]=[O&+]C[#1],"[148, 307, 931, 989, 1471, 2150, 2983, 4249, 4655, 5402, 5560, 5788, 5812, 6389, 7076, 7362, 7682, 7700, 8647, 11004]"
92,CN1CC1>>CCN=C,"[326, 605, 881, 1201, 1993, 1995, 2929, 3338, 3460, 3784, 3787, 4337, 6001, 6755, 6870, 6874, 8959, 9797, 10378, 11113]"
93,C(NC[#1])[#1]>>[C&-][N&+]=C.[#1][#1],"[153, 256, 426, 430, 604, 984, 1996, 2503, 2786, 2900, 2930, 3989, 6869, 8958, 9234, 9346, 9800, 9955, 11465, 11762]"
94,C[#1].C>>C.C[#1],"[47, 224, 1491, 2403, 2529, 3155, 4155, 5518, 5987, 6117, 6763, 7420, 7795, 8057, 8421, 8715, 8778, 9621, 10547, 11417]"
95,NC.O>>N.OC,"[324, 627, 1088, 1194, 2317, 3421, 3455, 3700, 3936, 5036, 5311, 5446, 5968, 6247, 6757, 6939, 8747, 9003, 9385, 11048]"
96,C(C=O)[#1]>>C1C([#1])O1,"[56, 678, 1151, 1161, 1213, 1389, 1405, 1897, 2629, 2684, 2804, 4137, 4465, 5343, 5892, 6064, 9061, 9257, 9280, 9943]"
97,CCC#C>>CC=C=C,"[551, 725, 739, 2831, 2877, 3505, 4030, 4051, 4270, 4408, 4542, 4646, 4692, 5852, 5943, 6584, 8021, 9283, 11148]"
98,O=C[#1]>>O(C)[#1],"[205, 1131, 2163, 2311, 2330, 2679, 3306, 3319, 4351, 4544, 4767, 5487, 5541, 6637, 6787, 6950, 10537, 10590, 10783]"
99,C(C)C[#1]>>C=C.C[#1],"[219, 500, 1497, 1858, 3482, 3629, 5209, 5515, 5587, 5872, 6418, 6578, 7785, 8293, 8954, 9065, 9822, 10331, 11006]"
100,CC>>[C&+].[C&-],"[452, 1146, 1744, 2587, 2758, 3103, 3733, 3846, 4191, 5539, 6646, 7558, 7601, 8004, 8839, 9625, 9856, 11527]"
101,CCOC[#1]>>[C&-][O&+]=C.C[#1],"[269, 565, 736, 2407, 3226, 3246, 3575, 3590, 3795, 5291, 5861, 6281, 6733, 7099, 8504, 9168, 9435, 9824]"
102,N(CC)[#1]>>C[#1].N=C,"[157, 779, 1296, 1617, 2183, 2309, 2536, 3075, 3472, 4751, 4781, 5441, 6497, 7276, 8119, 8239, 10171, 10438]"
103,C1([#1])CO1>>[C&-]=[O&+]C[#1],"[1124, 1644, 2376, 2567, 2616, 2754, 3556, 3624, 4949, 5086, 5213, 5902, 6099, 6198, 7888, 9624, 10174]"
104,C(O)CC>>C=C.OC,"[748, 4807, 6386, 6710, 7137, 7140, 7575, 7581, 7838, 8073, 8135, 8669, 9719, 10657, 10874, 11225, 11239]"
105,CCC[#1]>>CCC[#1],"[478, 479, 1215, 1409, 1619, 4141, 4353, 4950, 5156, 5346, 6450, 6682, 6819, 6876, 8324, 8787, 11490]"
106,C(C(O[#1])[#1])[#1]>>C(C=O)[#1].[#1][#1],"[202, 1059, 1155, 2230, 2696, 2985, 3271, 3486, 4406, 5020, 6363, 6482, 6766, 6974, 8928, 10663, 11598]"
107,C[#1].C#C>>CC=C[#1],"[556, 2241, 2384, 2816, 2832, 3832, 4275, 4543, 4686, 5469, 5724, 9886, 10430, 10470, 10471, 10574, 11673]"
108,CC.O>>C.CO,"[955, 1030, 1218, 2823, 5738, 5750, 5867, 5890, 6419, 6454, 7008, 8392, 8541, 9242, 10085, 11364, 11488]"
109,C[#1].C#C>>CC(C)[#1],"[275, 667, 1819, 1821, 2830, 3780, 3949, 4696, 6074, 6523, 6583, 7301, 9282, 10269, 10579, 10583, 11560]"
110,CC.O>>[C&-].C[O&+],"[1360, 1445, 2351, 2540, 3889, 3900, 3966, 4876, 6473, 8260, 10010, 10271, 11323, 11582, 11583, 11775]"
111,CC.C[#1]>>C[#1].CC,"[571, 1489, 2433, 2610, 2986, 3012, 3270, 4590, 5039, 5863, 7723, 8602, 10313, 10899, 10915, 11596]"
112,C(O[#1])C>>C=O.C[#1],"[754, 1182, 1865, 3829, 4431, 5416, 5507, 6675, 7057, 8044, 8074, 8607, 8667, 9593, 10858, 11000]"
113,CO.N>>CN.O,"[1002, 1334, 3516, 4159, 4526, 4994, 6120, 6307, 6329, 7251, 7380, 7864, 7910, 9404, 9753, 10541]"
114,C(NC[#1])[#1]>>C=[N&+][C&-].[#1][#1],"[877, 1343, 2511, 2646, 2650, 4336, 4595, 4596, 7170, 7173, 9134, 9230, 9900, 9902, 11098, 11100]"
115,C(CCC#N)[#1]>>C=C.C=C=N[#1],"[245, 1467, 1589, 2858, 3126, 5351, 6166, 6812, 7524, 8035, 8832, 9314, 9740, 9898, 10589, 11240]"
116,C=O.O[#1]>>C(O[#1])O,"[168, 1293, 1881, 4135, 4709, 5162, 6349, 6424, 7518, 8486, 8742, 9116, 10202, 10739, 11264]"
117,C#CC[#1]>>CC(=C)[#1],"[1425, 1649, 1694, 2222, 2550, 2602, 3626, 5223, 5372, 7993, 9209, 9959, 10846, 11028, 11842]"
118,C.C[#1]>>C[#1].C,"[476, 825, 5789, 6312, 6330, 7739, 7741, 7756, 7813, 8354, 9028, 9816, 10960, 11400, 11912]"
119,C(O)(C)[#1]>>[C&-]=[O&+].C[#1],"[612, 1310, 3574, 3593, 5135, 5635, 6408, 6897, 8215, 8430, 8503, 9104, 9841, 9847, 11381]"
120,CC(C#N)[#1]>>[C&+]=C=[N&-].C[#1],"[487, 3050, 3054, 3827, 4434, 4459, 5072, 5951, 6167, 6169, 6957, 8043, 10594, 10608, 11322]"
121,CC(C)O>>[C&-]=[O&+].CC,"[493, 1524, 4235, 4533, 4972, 5794, 6299, 7028, 7040, 7053, 8286, 9660, 9913, 10853, 11635]"
122,C(CN)[#1].O>>C=C.N.O[#1],"[2039, 2537, 3422, 3902, 3959, 4577, 5818, 6480, 6610, 6778, 8097, 8242, 10047, 11464, 11570]"
123,C1OCC1>>C=C.O=C,"[3577, 3749, 4808, 5632, 6400, 6576, 6716, 8213, 9024, 10887, 11059, 11191, 11390, 11663, 11805]"
124,C(C1CCC1)[#1]>>C=CC[#1].C=C,"[2885, 6153, 6436, 7367, 7442, 7644, 7687, 8148, 8256, 8610, 9574, 9698, 10651, 10996]"
125,CCN[#1]>>C[#1].C=N,"[298, 1054, 1355, 1477, 2037, 3521, 3893, 5888, 6072, 6467, 8731, 9249, 10354, 10570]"
126,C1N([#1])C1>>C=NC[#1],"[111, 468, 2268, 3104, 3376, 3815, 6085, 6959, 7602, 7643, 9628, 10843, 11471, 11517]"
127,nc[#1]>>n([c&-])[#1],"[187, 440, 1579, 1772, 3112, 4062, 4306, 4487, 5244, 5766, 7930, 8320, 9676, 10265]"
128,C(CC)[#1].O>>C=C.C.O[#1],"[73, 388, 1413, 4084, 6261, 7090, 7843, 8723, 9952, 10113, 10200, 10508, 10514, 10702]"
129,NCC>>[N&+]([C&-])C,"[259, 424, 2053, 2932, 3101, 3469, 5231, 5834, 6548, 6966, 8028, 9128, 9796, 11854]"
130,C1CCO1>>C=C.C=O,"[497, 1390, 1582, 1903, 1927, 3228, 4558, 4974, 5165, 5339, 7051, 9651, 9914, 11429]"
131,C[#1].N>>[C&-].[N&+][#1],"[588, 1688, 2117, 2504, 4096, 6245, 6650, 7348, 8039, 9229, 9356, 10299, 11458, 11610]"
132,O(CCC[#1])[#1]>>C=C.[#1][#1].O=C,"[25, 652, 733, 1732, 3043, 3122, 4085, 4318, 4522, 7218, 7539, 10149, 10457, 11640]"
133,OC(=O)[#1]>>[O&+]=[C&-]O[#1],"[1115, 1564, 1938, 1959, 2151, 2402, 4768, 5418, 6879, 7208, 9225, 9482, 9879, 11949]"
134,C[#1].O=C>>[C&-].O([C&+])[#1],"[1493, 2040, 2118, 3147, 3647, 4389, 4676, 5482, 6230, 6232, 10621, 11402, 11412]"
135,N(cn)[#1]>>N=cn[#1],"[374, 909, 923, 926, 2392, 4486, 5179, 5335, 5524, 5721, 10097, 11179, 11397]"
136,C1CCO1>>C=O.C=C,"[775, 1530, 1698, 3227, 4376, 4557, 5337, 7808, 9653, 10556, 10852, 11424, 11630]"
137,CC.C[#1]>>CC.C[#1],"[36, 559, 1715, 1890, 3247, 3268, 4839, 6731, 6741, 7395, 8671, 11017, 11649]"
138,N.OC>>NC.O,"[377, 1108, 1375, 1958, 2399, 3396, 3404, 5523, 6771, 7201, 8094, 8559, 10523]"
139,NCC[#1]>>C=C.N[#1],"[785, 1289, 1622, 1633, 2756, 3441, 4187, 9058, 9347, 9387, 9644, 9919, 10727]"
140,N#CC[#1]>>N(=C=C)[#1],"[586, 867, 1013, 1751, 2777, 3609, 3841, 5089, 6130, 8049, 9445, 11203, 11815]"
141,C(N[#1])[#1]>>C=N.[#1][#1],"[639, 2116, 2318, 3945, 4882, 5596, 6949, 7005, 7293, 8283, 10217, 10646, 11573]"
142,C1OC1[#1]>>C([O&+]=[C&-])[#1],"[344, 940, 1848, 2149, 2988, 4447, 5556, 6103, 7368, 7686, 7693, 10965, 10991]"
143,N(CC#N)[#1]>>C=N[#1].N=C,"[2055, 2449, 2476, 2845, 3169, 5049, 5232, 5828, 6543, 8033, 10215, 11851]"
144,CC(N)[#1]>>[C&-]=[N&+].C[#1],"[1356, 1441, 1825, 2036, 2121, 3903, 3957, 6114, 8062, 8237, 8266, 11783]"
145,N(C[#1])[#1]>>[#1][#1].N=C,"[1082, 2320, 2348, 3880, 3963, 5433, 5937, 6617, 7064, 7285, 10006, 11566]"
146,OC.O[#1]>>CO.O[#1],"[3, 716, 2989, 3569, 4121, 4184, 4369, 5023, 5957, 8009, 8924, 10791]"
147,CNC[#1]>>C[#1].N=C,"[641, 1196, 2120, 3429, 3878, 4564, 5307, 5455, 6943, 7062, 8741, 10234]"
148,C(=O)C[#1]>>C1([#1])OC1,"[1173, 1292, 1384, 2545, 4760, 4796, 8114, 8483, 10169, 10737, 11482, 11797]"
149,C(C)C#N>>C=C=NC,"[2870, 3166, 4023, 4240, 4500, 4963, 5687, 5829, 7520, 7538, 11375, 11893]"
150,C(CCC#N)[#1]>>C(C[#1])N=C=C,"[1465, 1593, 3130, 3822, 5068, 6164, 6963, 7528, 8042, 9307, 9906, 11313]"
151,C(C)C#C>>C=C=CC,"[666, 863, 1964, 2494, 4418, 5993, 8707, 10175, 10267, 10462, 11153, 11562]"
152,CCCC>>CC.C=C,"[1667, 2682, 6091, 8144, 8145, 8493, 8675, 9288, 9572, 10017, 11144, 11730]"
153,C1OC1>>[C&-][O&+]=C,"[312, 349, 988, 2146, 2984, 4660, 5563, 6516, 7363, 7681, 8653, 10993]"
154,COC[#1]>>C[#1].O=C,"[382, 1369, 1937, 1956, 2395, 5121, 5711, 6269, 6395, 8557, 8685, 10040]"
155,CCC1CO1>>CC=C.C=O,"[1123, 2606, 2747, 3561, 3620, 4896, 5081, 5901, 9313, 10164, 10964, 11147]"
156,C(N)[#1].O>>C[N&+][#1].[O&-],"[531, 786, 958, 2206, 3372, 4550, 4833, 5483, 6628, 7349, 7493, 8895]"
157,C(C(O[#1])C)[#1]>>C(C=O)C.[#1][#1],"[395, 1186, 2588, 2718, 2857, 3044, 6681, 8726, 9737, 11002, 11291, 11837]"
158,C1CC1>>C.C=C,"[268, 648, 1510, 4422, 5297, 6055, 6184, 7630, 8152, 8618, 9476, 10534]"
159,CC.CC>>CC.CC,"[422, 851, 1808, 7583, 7783, 8299, 8964, 9561, 10189, 10817, 11868]"
160,CC.C>>C.CC,"[229, 2273, 3159, 5985, 7248, 7417, 8216, 8385, 8416, 8796, 10308]"
161,OC.O>>C.OO,"[59, 175, 1027, 1672, 1879, 3199, 4471, 6397, 7290, 8538, 10090]"
162,C(O)[#1].N>>[C&-][O&+].N[#1],"[1550, 1685, 2916, 3463, 4164, 4993, 6124, 7261, 7384, 9412, 10356]"
163,NC[#1].O>>[N&+](C)[#1].[O&-],"[523, 704, 975, 3642, 4831, 6004, 6086, 7283, 8376, 8681, 9584]"
164,OCC#C>>OC=C=C,"[348, 2104, 2381, 2496, 3397, 4699, 5923, 6050, 6520, 9196, 9767]"
165,NC[#1]>>C.N[#1],"[109, 1025, 2712, 3332, 3692, 9360, 10975, 11104, 11120, 11727, 11763]"
166,C1N([#1])C1>>C(N=C)[#1],"[466, 1306, 2256, 2745, 3107, 3732, 6647, 7605, 7631, 8259, 11532]"
167,CC1CO1>>CC[O&+]=[C&-],"[140, 2137, 4251, 4321, 4445, 4906, 8952, 9864, 10959, 10998, 11658]"
168,C(C)(O)[#1]>>[C&-]=[O&+].C[#1],"[777, 4525, 5865, 6028, 6119, 6282, 9662, 10389, 10905, 10919, 11908]"
169,C1CN1C>>C=NCC,"[2509, 2649, 4583, 4600, 6638, 6775, 7168, 8856, 9903, 11103, 11704]"
170,C#C.O[#1]>>OC=C[#1],"[1817, 2172, 3615, 4407, 8026, 8188, 8201, 8346, 9975, 10428, 11672]"
171,CCNC>>CC.C=N,"[2521, 3901, 3962, 4575, 6472, 6616, 6746, 8055, 8106, 10050, 11119]"
172,N=C(O)[#1]>>N([C&-]=[O&+])[#1],"[380, 1371, 1960, 2397, 2790, 3403, 4532, 6107, 6767, 8558, 9757]"
173,C#CCC>>C(=C=C)C,"[1426, 2010, 2812, 3309, 3723, 3951, 5215, 6511, 7997, 9774, 11324]"
